dataset,method,knob,value,recall,qps
SIFT,IVFPQ,nprobe,1,0.17796,154182.6610617175
SIFT,IVFPQ,nprobe,4,0.34736,147770.608402083
SIFT,IVFPQ,nprobe,8,0.42012,127001.63481179226
SIFT,IVFPQ,nprobe,16,0.47584,103940.03835273837
SIFT,IVFPQ,nprobe,32,0.50832,71328.73972585652
SIFT,IVFPQ,nprobe,64,0.52384,42869.03889142209
SIFT,HNSWSQ,efSearch,16,0.76368,165302.56772668558
SIFT,HNSWSQ,efSearch,32,0.8814,112698.4664888755
SIFT,HNSWSQ,efSearch,64,0.95096,60082.41433934602
SIFT,HNSWSQ,efSearch,128,0.97784,32832.64814349271
SIFT,HNSWSQ,efSearch,256,0.9856,15992.255858502731
GIST,IVFPQ,nprobe,1,0.0592,31789.960422382173
GIST,IVFPQ,nprobe,4,0.0988,25309.21277651671
GIST,IVFPQ,nprobe,8,0.1184,24571.891366686617
GIST,IVFPQ,nprobe,16,0.1312,27461.980299565235
GIST,IVFPQ,nprobe,32,0.1384,22593.365966485733
GIST,IVFPQ,nprobe,64,0.142,15593.383445028252
GIST,HNSWSQ,efSearch,16,0.4184,43729.60333572565
GIST,HNSWSQ,efSearch,32,0.5504,29924.673595443746
GIST,HNSWSQ,efSearch,64,0.6912,16833.505796754944
GIST,HNSWSQ,efSearch,128,0.7976,9517.525789644325
GIST,HNSWSQ,efSearch,256,0.8836,4321.2019960680445
GloVe,IVFPQ,nprobe,1,0.06556,147428.02669833766
GloVe,IVFPQ,nprobe,4,0.1106,141770.15463930898
GloVe,IVFPQ,nprobe,8,0.12912,133894.6339719148
GloVe,IVFPQ,nprobe,16,0.14152,133094.42354290013
GloVe,IVFPQ,nprobe,32,0.15156,116482.53494829801
GloVe,IVFPQ,nprobe,64,0.15768,85537.62943934703
GloVe,HNSWSQ,efSearch,16,0.28888,73067.27844399835
GloVe,HNSWSQ,efSearch,32,0.41076,45280.01161015749
GloVe,HNSWSQ,efSearch,64,0.5454,25016.16544980248
GloVe,HNSWSQ,efSearch,128,0.67148,14405.845702044999
GloVe,HNSWSQ,efSearch,256,0.78144,7496.806053316394
