dataset,method,group,recall,qps,mean_rc
SIFT,IVFPQ,hard,0.47584,105349.65994373204,1.9772106106827367
SIFT,HNSWSQ,hard,0.95096,69113.00152227412,1.9772106106827367
SIFT,LSH,hard,0.19524,11687.626181437041,1.9772106106827367
SIFT,IVFPQ,easy,0.64784,104420.4431519194,3.567831897589861
SIFT,HNSWSQ,easy,0.98532,104946.42295261574,3.567831897589861
SIFT,LSH,easy,0.295,11643.816057159213,3.567831897589861
GIST,IVFPQ,hard,0.1312,21290.208800566405,1.4797522089107589
GIST,HNSWSQ,hard,0.6912,16594.232820752444,1.4797522089107589
GIST,LSH,hard,0.0312,8236.509589575533,1.4797522089107589
GIST,IVFPQ,easy,0.2532,23862.61471938678,2.5336633996660747
GIST,HNSWSQ,easy,0.9296,21856.203628619493,2.5336633996660747
GIST,LSH,easy,0.0592,8049.885590200168,2.5336633996660747
GloVe,IVFPQ,hard,0.14152,135603.1343727106,1.7977085605627143
GloVe,HNSWSQ,hard,0.5454,25092.9820431185,1.7977085605627143
GloVe,LSH,hard,0.15968,10348.620776058111,1.7977085605627143
GloVe,IVFPQ,easy,0.38564,123798.6272045848,3.3134048996374097
GloVe,HNSWSQ,easy,0.97452,42843.872031679755,3.3134048996374097
GloVe,LSH,easy,0.45348,9468.487836639242,3.3134048996374097
