method,dataset,d,n_base,m,sq_bits,nbits,index_size_bytes,bytes_per_vector
IVFPQ,SIFT,128,1000000,8.0,,,18261172,18.261172
IVFPQ,SIFT,128,1000000,16.0,,,26261172,26.261172
IVFPQ,SIFT,128,1000000,32.0,,,42261172,42.261172
HNSWSQ,SIFT,128,1000000,,4.0,,336130566,336.130566
HNSWSQ,SIFT,128,1000000,,6.0,,368130566,368.130566
HNSWSQ,SIFT,128,1000000,,8.0,,400130566,400.130566
LSH,SIFT,128,1000000,,,128.0,16065629,16.065629
LSH,SIFT,128,1000000,,,256.0,32131165,32.131165
LSH,SIFT,128,1000000,,,512.0,64262237,64.262237
IVFPQ,GIST,960,1000000,8.0,,,32744628,32.744628
IVFPQ,GIST,960,1000000,16.0,,,40744628,40.744628
IVFPQ,GIST,960,1000000,32.0,,,56744628,56.744628
HNSWSQ,GIST,960,1000000,,4.0,,752137222,752.137222
HNSWSQ,GIST,960,1000000,,6.0,,992137222,992.137222
HNSWSQ,GIST,960,1000000,,8.0,,1232137222,1232.137222
LSH,GIST,960,1000000,,,128.0,16491613,16.491613
LSH,GIST,960,1000000,,,256.0,32983133,32.983133
LSH,GIST,960,1000000,,,512.0,65966173,65.966173
IVFPQ,GloVe,100,1183514,10.0,,,23077000,19.49871315421702
IVFPQ,GloVe,100,1183514,20.0,,,34912140,29.49871315421702
IVFPQ,GloVe,100,1183514,25.0,,,40829710,34.498713154217015
HNSWSQ,GloVe,100,1183514,,4.0,,381271026,322.1516821938735
HNSWSQ,GloVe,100,1183514,,6.0,,410858876,347.1516821938735
HNSWSQ,GloVe,100,1183514,,8.0,,440446726,372.1516821938735
LSH,GloVe,100,1183514,,,128.0,18987517,16.0433395802669
LSH,GloVe,100,1183514,,,256.0,37974941,32.086600580981724
LSH,GloVe,100,1183514,,,512.0,75949789,64.17312258241137
