dataset,method,param1,param2,recall,qps
SIFT,HNSWSQ,SQ6,efSearch=16,0.819,155169.15177645645
SIFT,HNSWSQ,SQ8,efSearch=16,0.8411,140986.79480379444
SIFT,HNSWSQ,SQ8,efSearch=32,0.9255,87299.68525124106
SIFT,HNSWSQ,SQ8,efSearch=64,0.9679,48751.396247214936
SIFT,HNSWSQ,SQ8,efSearch=128,0.9827,28988.125927753645
SIFT,HNSWSQ,SQ8,efSearch=256,0.9857,14707.681881082111
GIST,HNSWSQ,SQ8,efSearch=16,0.5777,38746.59569547394
GIST,HNSWSQ,SQ6,efSearch=16,0.5873,31430.815805586502
GIST,HNSWSQ,SQ8,efSearch=32,0.7095,22984.8707772698
GIST,HNSWSQ,SQ6,efSearch=32,0.713,18544.84803618365
GIST,HNSWSQ,SQ8,efSearch=64,0.8217,12116.653517199877
GIST,HNSWSQ,SQ8,efSearch=128,0.8973,6874.920477213329
GIST,HNSWSQ,SQ8,efSearch=256,0.9388,3322.8801273757617
GloVe,IVFPQ,m=25,nprobe=1,0.2811,99724.9485103632
GloVe,IVFPQ,m=25,nprobe=4,0.4321,90968.1956669411
GloVe,IVFPQ,m=25,nprobe=8,0.4797,80212.29950029038
GloVe,HNSWSQ,SQ4,efSearch=16,0.5161,61177.91030734421
GloVe,IVFPQ,m=25,nprobe=16,0.5179,57509.65036855648
GloVe,HNSWSQ,SQ8,efSearch=16,0.6596,54426.61418084762
GloVe,HNSWSQ,SQ8,efSearch=32,0.7563,40729.46965426571
GloVe,HNSWSQ,SQ8,efSearch=64,0.8287,23028.642305090816
GloVe,HNSWSQ,SQ8,efSearch=128,0.8844,13933.70360175193
GloVe,HNSWSQ,SQ8,efSearch=256,0.9226,6994.50161542624
