dataset,method,strategy,level,recall,qps,mean_rc
SIFT,IVFPQ,gaussian,0.0,0.55573,102987.42628328093,2.578329309050199
SIFT,HNSWSQ,gaussian,0.0,0.97132,69100.34010716355,2.578329309050199
SIFT,LSH,gaussian,0.0,0.23861,11246.192806540474,2.578329309050199
SIFT,IVFPQ,gaussian,0.01,0.55159,104773.06257804879,2.4834006223899303
SIFT,HNSWSQ,gaussian,0.01,0.97003,67292.06114269506,2.4834006223899303
SIFT,LSH,gaussian,0.01,0.22635,10776.511969194791,2.4834006223899303
SIFT,IVFPQ,gaussian,0.05,0.4731,108109.49541694275,1.7477566071728452
SIFT,HNSWSQ,gaussian,0.05,0.94477,66177.85497470929,1.7477566071728452
SIFT,LSH,gaussian,0.05,0.11302,11302.659172578808,1.7477566071728452
SIFT,IVFPQ,gaussian,0.1,0.37431,104159.74221943287,1.3443967326576893
SIFT,HNSWSQ,gaussian,0.1,0.85825,65123.9209152092,1.3443967326576893
SIFT,LSH,gaussian,0.1,0.05318,11285.10459044502,1.3443967326576893
SIFT,IVFPQ,interp,0.0,0.55573,109402.49574802737,2.578329309050199
SIFT,HNSWSQ,interp,0.0,0.97132,71013.80163206525,2.578329309050199
SIFT,LSH,interp,0.0,0.23861,10789.507133019853,2.578329309050199
SIFT,IVFPQ,interp,0.05,0.54284,107964.41735809277,2.5482240729178725
SIFT,HNSWSQ,interp,0.05,0.97056,68440.87170086788,2.5482240729178725
SIFT,LSH,interp,0.05,0.22896,11034.2116672682,2.5482240729178725
SIFT,IVFPQ,interp,0.1,0.52433,106635.27548531475,2.477301417496107
SIFT,HNSWSQ,interp,0.1,0.96815,67496.81995426181,2.477301417496107
SIFT,LSH,interp,0.1,0.21974,11112.53356476088,2.477301417496107
SIFT,IVFPQ,interp,0.2,0.47233,104641.45985211112,2.2895747381950353
SIFT,HNSWSQ,interp,0.2,0.9628,63673.30643149997,2.2895747381950353
SIFT,LSH,interp,0.2,0.18366,10845.45295802551,2.2895747381950353
GIST,IVFPQ,gaussian,0.0,0.1832,26468.00348475334,1.8223152047336464
GIST,HNSWSQ,gaussian,0.0,0.8264,19616.589440059095,1.8223152047336464
GIST,LSH,gaussian,0.0,0.0398,10552.770138687412,1.8223152047336464
GIST,IVFPQ,gaussian,0.01,0.1733,26518.866764897895,1.5409522853246977
GIST,HNSWSQ,gaussian,0.01,0.8146,17683.654520506665,1.5409522853246977
GIST,LSH,gaussian,0.01,0.0253,10529.684733466403,1.5409522853246977
GIST,IVFPQ,gaussian,0.05,0.0944,23592.292717473367,1.0856651552593868
GIST,HNSWSQ,gaussian,0.05,0.5339,16679.45758507415,1.0856651552593868
GIST,LSH,gaussian,0.05,0.0039,10585.272861498179,1.0856651552593868
GIST,IVFPQ,gaussian,0.1,0.0657,23825.2183814754,1.030152458588002
GIST,HNSWSQ,gaussian,0.1,0.3095,18278.699268173772,1.030152458588002
GIST,LSH,gaussian,0.1,0.001,10518.860904809708,1.030152458588002
GIST,IVFPQ,interp,0.0,0.1832,25580.38569474589,1.8223152047336464
GIST,HNSWSQ,interp,0.0,0.8264,19323.027397678503,1.8223152047336464
GIST,LSH,interp,0.0,0.0398,11160.204975874716,1.8223152047336464
GIST,IVFPQ,interp,0.05,0.1714,25261.078296423195,1.8297763171898036
GIST,HNSWSQ,interp,0.05,0.8337,18219.41643146596,1.8297763171898036
GIST,LSH,interp,0.05,0.0374,11230.198633075308,1.8297763171898036
GIST,IVFPQ,interp,0.1,0.1673,26833.814128630995,1.832362334079015
GIST,HNSWSQ,interp,0.1,0.8371,17662.24564492342,1.832362334079015
GIST,LSH,interp,0.1,0.0343,11158.435898166585,1.832362334079015
GIST,IVFPQ,interp,0.2,0.1585,26547.343798232236,1.8224883212428173
GIST,HNSWSQ,interp,0.2,0.8442,18213.611529390822,1.8224883212428173
GIST,LSH,interp,0.2,0.0269,9008.423382032985,1.8224883212428173
GloVe,IVFPQ,gaussian,0.0,0.26876,125048.29364934155,2.34039235352278
GloVe,HNSWSQ,gaussian,0.0,0.82517,31014.864006794982,2.34039235352278
GloVe,LSH,gaussian,0.0,0.29232,9285.306581772522,2.34039235352278
GloVe,IVFPQ,gaussian,0.01,0.26699,122500.69190689547,2.3236814503171836
GloVe,HNSWSQ,gaussian,0.01,0.8233,29949.061168949094,2.3236814503171836
GloVe,LSH,gaussian,0.01,0.28825,9421.548547371927,2.3236814503171836
GloVe,IVFPQ,gaussian,0.05,0.23433,136492.97276349462,2.090598762767169
GloVe,HNSWSQ,gaussian,0.05,0.76728,30787.121306886795,2.090598762767169
GloVe,LSH,gaussian,0.05,0.23697,9127.58228109035,2.090598762767169
GloVe,IVFPQ,gaussian,0.1,0.17011,132526.43638660706,1.8431345714307303
GloVe,HNSWSQ,gaussian,0.1,0.60823,26882.789816949542,1.8431345714307303
GloVe,LSH,gaussian,0.1,0.15988,9547.922611338177,1.8431345714307303
GloVe,IVFPQ,interp,0.0,0.26876,135074.02869689482,2.34039235352278
GloVe,HNSWSQ,interp,0.0,0.82517,31500.639265831767,2.34039235352278
GloVe,LSH,interp,0.0,0.29232,9565.150047623045,2.34039235352278
GloVe,IVFPQ,interp,0.05,0.26573,129067.65257834831,2.340600820321816
GloVe,HNSWSQ,interp,0.05,0.82348,31174.708693877612,2.340600820321816
GloVe,LSH,interp,0.05,0.28787,9344.954185080118,2.340600820321816
GloVe,IVFPQ,interp,0.1,0.26011,128095.50472714896,2.332811490749771
GloVe,HNSWSQ,interp,0.1,0.82064,31132.416075211782,2.332811490749771
