method,dataset,d,param1,param2,m,nprobe,sq_bits,nbits,recall,qps,build_time
HNSWSQ,SIFT,128,SQ4,efSearch=16,,,4,,0.7216,136840.559557575,40.093858365900815
HNSWSQ,SIFT,128,SQ4,efSearch=32,,,4,,0.7816,92686.06023409721,40.093858365900815
HNSWSQ,SIFT,128,SQ4,efSearch=64,,,4,,0.8107,53101.10458062147,40.093858365900815
HNSWSQ,SIFT,128,SQ4,efSearch=128,,,4,,0.8191,33136.500476528876,40.093858365900815
HNSWSQ,SIFT,128,SQ4,efSearch=256,,,4,,0.8203,16785.04740481299,40.093858365900815
HNSWSQ,SIFT,128,SQ6,efSearch=16,,,6,,0.819,155169.15177645645,51.240788747090846
HNSWSQ,SIFT,128,SQ6,efSearch=32,,,6,,0.8983,70843.63646272373,51.240788747090846
HNSWSQ,SIFT,128,SQ6,efSearch=64,,,6,,0.937,46718.5042167823,51.240788747090846
HNSWSQ,SIFT,128,SQ6,efSearch=128,,,6,,0.9492,27438.968822539333,51.240788747090846
HNSWSQ,SIFT,128,SQ6,efSearch=256,,,6,,0.9528,13913.484111383124,51.240788747090846
HNSWSQ,SIFT,128,SQ8,efSearch=16,,,8,,0.8411,140986.79480379444,49.432626952417195
HNSWSQ,SIFT,128,SQ8,efSearch=32,,,8,,0.9255,87299.68525124106,49.432626952417195
HNSWSQ,SIFT,128,SQ8,efSearch=64,,,8,,0.9679,48751.396247214936,49.432626952417195
HNSWSQ,SIFT,128,SQ8,efSearch=128,,,8,,0.9827,28988.125927753645,49.432626952417195
HNSWSQ,SIFT,128,SQ8,efSearch=256,,,8,,0.9857,14707.681881082113,49.432626952417195
HNSWSQ,GIST,960,SQ4,efSearch=16,,,4,,0.4125,33855.389484825355,238.50907590426505
HNSWSQ,GIST,960,SQ4,efSearch=32,,,4,,0.475,20407.38901923584,238.50907590426505
HNSWSQ,GIST,960,SQ4,efSearch=64,,,4,,0.5149,11113.492721266668,238.50907590426505
HNSWSQ,GIST,960,SQ4,efSearch=128,,,4,,0.5381,5650.2041407331835,238.50907590426505
HNSWSQ,GIST,960,SQ4,efSearch=256,,,4,,0.5481,3102.021964591699,238.50907590426505
HNSWSQ,GIST,960,SQ6,efSearch=16,,,6,,0.5873,31430.815805586506,213.79793266393244
HNSWSQ,GIST,960,SQ6,efSearch=32,,,6,,0.713,18544.848036183652,213.79793266393244
HNSWSQ,GIST,960,SQ6,efSearch=64,,,6,,0.8034,11218.36555762636,213.79793266393244
HNSWSQ,GIST,960,SQ6,efSearch=128,,,6,,0.8622,6024.990504220018,213.79793266393244
HNSWSQ,GIST,960,SQ6,efSearch=256,,,6,,0.8909,3221.930164510756,213.79793266393244
HNSWSQ,GIST,960,SQ8,efSearch=16,,,8,,0.5777,38746.59569547394,190.36876830505207
HNSWSQ,GIST,960,SQ8,efSearch=32,,,8,,0.7095,22984.8707772698,190.36876830505207
HNSWSQ,GIST,960,SQ8,efSearch=64,,,8,,0.8217,12116.653517199877,190.36876830505207
HNSWSQ,GIST,960,SQ8,efSearch=128,,,8,,0.8973,6874.920477213329,190.36876830505207
HNSWSQ,GIST,960,SQ8,efSearch=256,,,8,,0.9388,3322.8801273757617,190.36876830505207
HNSWSQ,GloVe,100,SQ4,efSearch=16,,,4,,0.5161,61177.91030734421,139.35042407922447
HNSWSQ,GloVe,100,SQ4,efSearch=32,,,4,,0.5804,45052.86221072459,139.35042407922447
HNSWSQ,GloVe,100,SQ4,efSearch=64,,,4,,0.6193,24147.736923206532,139.35042407922447
HNSWSQ,GloVe,100,SQ4,efSearch=128,,,4,,0.6479,14590.855325305614,139.35042407922447
HNSWSQ,GloVe,100,SQ4,efSearch=256,,,4,,0.6659,7595.739894631165,139.35042407922447
HNSWSQ,GloVe,100,SQ6,efSearch=16,,,6,,0.6392,50150.436059902335,186.00153672788292
HNSWSQ,GloVe,100,SQ6,efSearch=32,,,6,,0.7284,35816.43937550731,186.00153672788292
HNSWSQ,GloVe,100,SQ6,efSearch=64,,,6,,0.7961,21227.854007359554,186.00153672788292
HNSWSQ,GloVe,100,SQ6,efSearch=128,,,6,,0.8452,11227.421009969394,186.00153672788292
HNSWSQ,GloVe,100,SQ6,efSearch=256,,,6,,0.8763,6160.062539783264,186.00153672788292
HNSWSQ,GloVe,100,SQ8,efSearch=16,,,8,,0.6596,54426.614180847624,153.2618650677614
HNSWSQ,GloVe,100,SQ8,efSearch=32,,,8,,0.7563,40729.46965426571,153.2618650677614
HNSWSQ,GloVe,100,SQ8,efSearch=64,,,8,,0.8287,23028.642305090816,153.2618650677614
HNSWSQ,GloVe,100,SQ8,efSearch=128,,,8,,0.8844,13933.70360175193,153.2618650677614
HNSWSQ,GloVe,100,SQ8,efSearch=256,,,8,,0.9226,6994.50161542624,153.2618650677614
